# Basic speices list for MCM/SSH -> SSH-aerosol w/ fixed oxidant profiles

# For gas-particle partitioning
SULF 98.0
NH3 17.0
HNO3 63.0
HCL 36.5
SOAlP 392.0
BiMT 136.0
MD 28.0
BC 12.0
H2O 18.0

# Reactants
OH 17.0
O3 48.0
NO 30.0
NO2 46.0
NO3 62.0
HO2 33.0
SO2 64.0
CO 28.0
ACO3 75.0
RO2 250.0
RO2pool 250.0
RO2pool1 250.0
